Date : 2024-11-29 14:29:24
Directory : c:\Users\hzins\Desktop\X-base
Total : 195 files,  1172325 codes, 226 comments, 1142 blanks, all 1173693 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| CSV      |         27 |  1,061,554 |          0 |         27 |  1,061,581 |
| Excel    |         86 |     66,198 |          0 |        457 |     66,655 |
| JSON     |         72 |     42,632 |          0 |         72 |     42,704 |
| Python   |         10 |      1,941 |        226 |        586 |      2,753 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        195 |  1,172,325 |        226 |      1,142 |  1,173,693 |
| . (Files)                                                                     |         26 |      8,178 |        226 |        602 |      9,006 |
| .ipynb_checkpoints                                                            |          1 |         18 |          0 |          1 |         19 |
| 2024.10                                                                       |         13 |     12,455 |          0 |         13 |     12,468 |
| 2024.11                                                                       |         26 |     11,901 |          0 |         26 |     11,927 |
| data_input                                                                    |         14 |     22,688 |          0 |        167 |     22,855 |
| data_input_auto                                                               |         21 |     20,898 |          0 |        134 |     21,032 |
| data_output                                                                   |         68 |  1,083,819 |          0 |        173 |  1,083,992 |
| data_output_auto                                                              |         10 |        347 |          0 |         10 |        357 |
| demo_教材                                                                       |          1 |      1,023 |          0 |          1 |      1,024 |
| test_code                                                                     |         15 |     10,998 |          0 |         15 |     11,013 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                      | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\hzins\Desktop\X-base\.ipynb_checkpoints\test-checkpoint.ipynb        | JSON     |         18 |          0 |          1 |         19 |
| c:\Users\hzins\Desktop\X-base\2024.10\30面积30.ipynb                            | JSON     |        366 |          0 |          1 |        367 |
| c:\Users\hzins\Desktop\X-base\2024.10\30面积7.ipynb                             | JSON     |        570 |          0 |          1 |        571 |
| c:\Users\hzins\Desktop\X-base\2024.10\MLE铜价.ipynb                             | JSON     |        726 |          0 |          1 |        727 |
| c:\Users\hzins\Desktop\X-base\2024.10\process_data.ipynb                      | JSON     |        544 |          0 |          1 |        545 |
| c:\Users\hzins\Desktop\X-base\2024.10\process_data_1.ipynb                    | JSON     |        423 |          0 |          1 |        424 |
| c:\Users\hzins\Desktop\X-base\2024.10\stl_loess.ipynb                         | JSON     |      1,299 |          0 |          1 |      1,300 |
| c:\Users\hzins\Desktop\X-base\2024.10\地产新开工.ipynb                             | JSON     |        354 |          0 |          1 |        355 |
| c:\Users\hzins\Desktop\X-base\2024.10\房地产销售面积.ipynb                           | JSON     |        371 |          0 |          1 |        372 |
| c:\Users\hzins\Desktop\X-base\2024.10\螺纹.ipynb                                | JSON     |      1,045 |          0 |          1 |      1,046 |
| c:\Users\hzins\Desktop\X-base\2024.10\螺纹_final.ipynb                          | JSON     |        468 |          0 |          1 |        469 |
| c:\Users\hzins\Desktop\X-base\2024.10\螺纹_模板.ipynb                             | JSON     |        510 |          0 |          1 |        511 |
| c:\Users\hzins\Desktop\X-base\2024.10\螺纹需求_model.ipynb                        | JSON     |      3,243 |          0 |          1 |      3,244 |
| c:\Users\hzins\Desktop\X-base\2024.10\螺纹需求_ts_lr.ipynb                        | JSON     |      2,536 |          0 |          1 |      2,537 |
| c:\Users\hzins\Desktop\X-base\2024.11\Brent-WTI价差.ipynb                       | JSON     |        211 |          0 |          1 |        212 |
| c:\Users\hzins\Desktop\X-base\2024.11\Brent-WTI价差api.ipynb                    | JSON     |        173 |          0 |          1 |        174 |
| c:\Users\hzins\Desktop\X-base\2024.11\WTI_连1-连4月差拟合残差.ipynb                   | JSON     |        213 |          0 |          1 |        214 |
| c:\Users\hzins\Desktop\X-base\2024.11\WTI_连1-连4月差拟合残差api.ipynb                | JSON     |        178 |          0 |          1 |        179 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_原油合约价格_final.ipynb                  | JSON     |        596 |          0 |          1 |        597 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_原油合约价格_final2.ipynb                 | JSON     |        628 |          0 |          1 |        629 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_原油合约价格api.ipynb                     | JSON     |        171 |          0 |          1 |        172 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合.ipynb                          | JSON     |        758 |          0 |          1 |        759 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合2.ipynb                         | JSON     |        959 |          0 |          1 |        960 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合3.ipynb                         | JSON     |        874 |          0 |          1 |        875 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合api.ipynb                       | JSON     |        180 |          0 |          1 |        181 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合final.ipynb                     | JSON     |        215 |          0 |          1 |        216 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_残差拟合final_rg.ipynb                  | JSON     |        270 |          0 |          1 |        271 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_连1-4_1.ipynb                        | JSON     |        192 |          0 |          1 |        193 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_连1-4_2.ipynb                        | JSON     |        403 |          0 |          1 |        404 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_连1-4_3.ipynb                        | JSON     |        687 |          0 |          1 |        688 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_连1-4_4.ipynb                        | JSON     |      1,359 |          0 |          1 |      1,360 |
| c:\Users\hzins\Desktop\X-base\2024.11\wti_连1-4api.ipynb                       | JSON     |        186 |          0 |          1 |        187 |
