真实值,预测值_non_trend,Date,预测值_trend,山东柴油裂解差
,,2025-03-31,245.57476395865802,
,304.735815,2025-03-01,,
,,2025-02-28,283.81482266128876,
261.8224842105263,,2025-02-01,,
,,2025-01-31,271.06109012683424,
36.853195,,2025-01-01,,
,,2024-12-31,267.28180061679734,
205.41172272727272,,2024-12-01,,
,,2024-11-30,275.619111184576,
56.339468181818184,,2024-11-01,,
,,2024-10-31,285.5136015113325,
-82.77837,,2024-10-01,,
,,2024-09-30,294.53421306035204,
87.16712857142858,,2024-09-01,,
,,2024-08-31,305.3147723311324,
107.40758695652174,,2024-08-01,,
,,2024-07-31,313.65712120105337,
-140.23462173913043,,2024-07-01,,
,,2024-06-30,322.723738054739,
-60.481245,,2024-06-01,,
,,2024-05-31,323.2518055187833,
-161.85490000000001,,2024-05-01,,
,,2024-04-30,330.20358639301446,
-319.5023173913043,,2024-04-01,,
,,2024-03-31,359.51602042357064,
-206.32108181818182,,2024-03-01,,
,,2024-02-29,397.64691401989796,
-249.36809473684212,,2024-02-01,,
,,2024-01-31,425.0215611816057,
-47.16816363636363,,2024-01-01,,
,,2023-12-31,453.97652530750565,
124.14822272727271,,2023-12-01,,
,,2023-11-30,474.25694240739233,
-7.096800000000001,,2023-11-01,,
,,2023-10-31,492.06023745885904,
-96.08525999999999,,2023-10-01,,
,,2023-09-30,511.8311244551826,
-199.88418181818182,,2023-09-01,,
,,2023-08-31,531.455077331957,
39.902034782608695,,2023-08-01,,
-106.35412857142857,,2023-07-01,,
-84.87055,,2023-06-01,,
175.43498571428572,,2023-05-01,,
150.56155238095238,,2023-04-01,,
328.6957086956522,,2023-03-01,,
251.94687,,2023-02-01,,
62.87496315789473,,2023-01-01,,
