Date,煤柴价差日度_预测
2025-03-02,-685.7667
2025-03-03,-685.7667
2025-03-04,-641.49097
2025-03-05,-641.49097
2025-03-06,-658.1572
2025-03-07,-653.0635
2025-03-08,-621.14026
2025-03-09,-670.3362
2025-03-10,-639.10156
2025-03-11,-638.96375
2025-03-12,-641.132
2025-03-13,-577.1394
2025-03-14,-586.3397
2025-03-15,-583.3823
2025-03-16,-573.4095
2025-03-17,-572.13477
2025-03-18,-572.13477
2025-03-19,-553.3746
2025-03-20,-544.3289
2025-03-21,-535.96545
2025-03-22,-545.8341
2025-03-23,-534.5565
2025-03-24,-518.64636
2025-03-25,-505.26617
2025-03-26,-499.95853
2025-03-27,-456.1127
2025-03-28,-449.71976
2025-03-29,-415.6831
2025-03-30,-565.80554
2025-03-31,-573.15955
2025-04-01,-573.15955
2025-04-02,-573.15955
2025-04-03,-573.15955
2025-04-04,-569.20636
2025-04-05,-569.20636
2025-04-06,-569.20636
2025-04-07,-569.20636
2025-04-08,-569.20636
2025-04-09,-564.27716
2025-04-10,-564.27716
2025-04-11,-559.9281
2025-04-12,-559.9281
2025-04-13,-559.9281
2025-04-14,-559.9281
2025-04-15,-548.3284
2025-04-16,-548.3284
2025-04-17,-548.3284
2025-04-18,-548.3284
2025-04-19,-548.3284
2025-04-20,-548.3284
2025-04-21,-548.3284
2025-04-22,-548.3284
2025-04-23,-548.3284
2025-04-24,-548.3284
2025-04-25,-548.3284
2025-04-26,-542.64667
2025-04-27,-539.4233
2025-04-28,-532.354
2025-04-29,-525.53345
2025-04-30,-502.55743
2025-05-01,-494.01743
2025-05-02,-488.0802
2025-05-03,-488.0802
2025-05-04,-488.0802
2025-05-05,-488.0802
2025-05-06,-488.0802
2025-05-07,-488.0802
2025-05-08,-488.0802
2025-05-09,-488.0802
2025-05-10,-488.0802
2025-05-11,-488.0802
2025-05-12,-488.0802
2025-05-13,-488.0802
2025-05-14,-488.0802
2025-05-15,-488.0802
2025-05-16,-488.0802
2025-05-17,-488.0802
2025-05-18,-488.0802
2025-05-19,-488.0802
